date,target
2018/12/22,0
2018/12/23,43
2018/12/24,57
2018/12/25,62
2018/12/26,40
2018/12/27,41
2018/12/28,45
2018/12/29,45
2018/12/30,69
2018/12/31,73
2019/1/1,1
2019/1/2,69
2019/1/3,0
2019/1/4,45
2019/1/5,62
2019/1/6,45
2019/1/7,40
2019/1/8,66
2019/1/9,45
2019/1/10,46
2019/1/11,73
2019/1/12,0
2019/1/13,48
2019/1/14,40
2019/1/15,45
2019/1/16,85
2019/1/17,43
2019/1/18,70
2019/1/19,45
2019/1/20,45
2019/1/21,45
2019/1/22,59
2019/1/23,75
2019/1/24,0
2019/1/25,45
2019/1/26,61
2019/1/27,70
2019/1/28,85
2019/1/29,0
2019/1/30,0
2019/1/31,75
2019/2/1,0
2019/2/2,74
2019/2/3,49
2019/2/4,77
2019/2/5,75
2019/2/6,48
2019/2/7,0
2019/2/8,0
2019/2/9,56
2019/2/10,0
2019/2/11,0
2019/2/12,0
2019/2/13,0
2019/2/14,62
2019/2/15,0
2019/2/16,45
2019/2/17,73
2019/2/18,85
2019/2/19,47
2019/2/20,63
2019/2/21,0
2019/2/22,77
2019/2/23,45
2019/2/24,0
2019/2/25,45
2019/2/26,65
2019/2/27,65
2019/2/28,46
2019/3/1,0
2019/3/2,0
2019/3/3,57
2019/3/4,64
2019/3/5,68
2019/3/6,73
2019/3/7,68
2019/3/8,52
2019/3/9,53
2019/3/10,0
2019/3/11,77
2019/3/12,44
2019/3/13,0
2019/3/14,45
2019/3/15,69
2019/3/16,46
2019/3/17,0
2019/3/18,0
2019/3/19,67
2019/3/20,65
2019/3/21,69
2019/3/22,77
2019/3/23,85
2019/3/24,68
2019/3/25,62
2019/3/26,43
2019/3/27,66
2019/3/28,65
2019/3/29,57
2019/3/30,65
2019/3/31,57
2019/4/1,48
2019/4/2,64
2019/4/3,60
2019/4/4,45
2019/4/5,47
2019/4/6,0
2019/4/7,53
2019/4/8,56
2019/4/9,61
2019/4/10,40
2019/4/11,45
2019/4/12,85
2019/4/13,68
2019/4/14,67
2019/4/15,40
2019/4/16,68
2019/4/17,61
2019/4/18,0
2019/4/19,41
2019/4/20,1
2019/4/21,47
2019/4/22,73
2019/4/23,68
2019/4/24,56
2019/4/25,67
2019/4/26,45
2019/4/27,45
2019/4/28,63
2019/4/29,61
2019/4/30,45
2019/5/1,0
2019/5/2,68
2019/5/3,0
2019/5/4,45
2019/5/5,49
2019/5/6,67
2019/5/7,85
2019/5/8,66
2019/5/9,64
2019/5/10,61
2019/5/11,41
2019/5/12,58
2019/5/13,58
2019/5/14,57
2019/5/15,65
2019/5/16,45
2019/5/17,61
2019/5/18,45
2019/5/19,81
2019/5/20,45
2019/5/21,45
2019/5/22,65
2019/5/23,42
2019/5/24,77
2019/5/25,61
2019/5/26,56
2019/5/27,45
2019/5/28,37
2019/5/29,66
2019/5/30,48
2019/5/31,45
2019/6/1,45
2019/6/2,0
2019/6/3,45
2019/6/4,57
2019/6/5,42
2019/6/6,53
2019/6/7,0
2019/6/8,0
2019/6/9,61
2019/6/10,42
2019/6/11,49
2019/6/12,63
2019/6/13,65
2019/6/14,0
2019/6/15,60
2019/6/16,45
2019/6/17,61
2019/6/18,45
2019/6/19,45
2019/6/20,45
2019/6/21,45
2019/6/22,45
2019/6/23,57
2019/6/24,45
2019/6/25,45
2019/6/26,69
2019/6/27,45
2019/6/28,52
2019/6/29,56
2019/6/30,57
2019/7/1,47
2019/7/2,45
2019/7/3,65
2019/7/4,45
2019/7/5,61
2019/7/6,59
2019/7/7,45
2019/7/8,60
2019/7/9,45
2019/7/10,65
2019/7/11,60
2019/7/12,45
2019/7/13,45
2019/7/14,69
2019/7/15,42
2019/7/16,57
2019/7/17,45
2019/7/18,59
2019/7/19,37
2019/7/20,43
2019/7/21,60
2019/7/22,59
2019/7/23,0
2019/7/24,70
2019/7/25,57
2019/7/26,45
2019/7/27,46
2019/7/28,75
2019/7/29,63
2019/7/30,57
2019/7/31,44
2019/8/1,49
2019/8/2,69
2019/8/3,68
2019/8/4,48
2019/8/5,65
2019/8/6,65
2019/8/7,53
2019/8/8,63
2019/8/9,45
2019/8/10,45
2019/8/11,66
2019/8/12,59
2019/8/13,69
2019/8/14,37
2019/8/15,66
2019/8/16,65
2019/8/17,63
2019/8/18,0
2019/8/19,45
2019/8/20,53
2019/8/21,41
2019/8/22,59
2019/8/23,58
2019/8/24,69
2019/8/25,77
2019/8/26,52
2019/8/27,61
2019/8/28,65
2019/8/29,0
2019/8/30,0
2019/8/31,49
2019/9/1,66
2019/9/2,64
2019/9/3,69
2019/9/4,65
2019/9/5,45
2019/9/6,49
2019/9/7,62
2019/9/8,0
2019/9/9,41
2019/9/10,61
2019/9/11,67
2019/9/12,44
2019/9/13,77
2019/9/14,43
2019/9/15,62
2019/9/16,0
2019/9/17,65
2019/9/18,77
2019/9/19,67
2019/9/20,46
2019/9/21,70
2019/9/22,61
2019/9/23,73
2019/9/24,48
2019/9/25,61
2019/9/26,45
2019/9/27,53
2019/9/28,46
2019/9/29,45
2019/9/30,45
2019/10/1,0
2019/10/2,47
2019/10/3,43
2019/10/4,62
2019/10/5,45
2019/10/6,45
2019/10/7,61
2019/10/8,40
2019/10/9,48
2019/10/10,77
2019/10/11,57
2019/10/12,56
2019/10/13,0
2019/10/14,45
2019/10/15,65
2019/10/16,45
2019/10/17,62
2019/10/18,41
2019/10/19,61
2019/10/20,0
2019/10/21,37
2019/10/22,49
2019/10/23,64
2019/10/24,43
2019/10/25,45
2019/10/26,63
2019/10/27,0
2019/10/28,41
2019/10/29,43
2019/10/30,75
2019/10/31,74
2019/11/1,0
2019/11/2,66
2019/11/3,73
2019/11/4,65
2019/11/5,45
2019/11/6,61
2019/11/7,69
2019/11/8,65
2019/11/9,65
2019/11/10,69
2019/11/11,65
2019/11/12,65
2019/11/13,45
2019/11/14,45
2019/11/15,45
2019/11/16,45
2019/11/17,69
2019/11/18,45
2019/11/19,69
2019/11/20,45
2019/11/21,69
2019/11/22,65
2019/11/23,41
2019/11/24,45
2019/11/25,45
2019/11/26,69
2019/11/27,69
2019/11/28,45
2019/11/29,41
2019/11/30,45
2019/12/1,69
2019/12/2,69
2019/12/3,69
2019/12/4,45
2019/12/5,45
2019/12/6,45
2019/12/7,41
2019/12/8,69
2019/12/9,45
2019/12/10,45
2019/12/11,45
2019/12/12,45
2019/12/13,45
2019/12/14,45
2019/12/15,69
2019/12/16,45
2019/12/17,45
2019/12/18,45
2019/12/19,45
2019/12/20,45
2019/12/21,45
2019/12/22,45
2019/12/23,45
2019/12/24,45
2019/12/25,45
2019/12/26,45
2019/12/27,45
2019/12/28,45
2019/12/29,45
2019/12/30,45
2019/12/31,45
2020/1/1,45
2020/1/2,45
2020/1/3,45
2020/1/4,45
2020/1/5,45
2020/1/6,45
2020/1/7,65
2020/1/8,45
2020/1/9,45
2020/1/10,45
2020/1/11,45
2020/1/12,41
2020/1/13,45
2020/1/14,41
2020/1/15,45
2020/1/16,45
2020/1/17,45
2020/1/18,45
2020/1/19,41
2020/1/20,45
2020/1/21,41
2020/1/22,77
2020/1/23,77
2020/1/24,77
2020/1/25,49
2020/1/26,77
2020/1/27,77
2020/1/28,81
2020/1/29,41
2020/1/30,77
2020/1/31,77
2020/2/1,77
2020/2/2,41
2020/2/3,73
2020/2/4,69
2020/2/5,65
2020/2/6,45
2020/2/7,45
2020/2/8,77
2020/2/9,77
2020/2/10,45
2020/2/11,45
2020/2/12,41
2020/2/13,45
2020/2/14,65
2020/2/15,45
2020/2/16,65
2020/2/17,65
2020/2/18,45
2020/2/19,45
2020/2/20,45
2020/2/21,45
2020/2/22,65
2020/2/23,65
2020/2/24,45
2020/2/25,65
2020/2/26,61
2020/2/27,45
2020/2/28,61
2020/2/29,61
2020/3/1,69
2020/3/2,65
2020/3/3,65
2020/3/4,45
2020/3/5,45
2020/3/6,45
2020/3/7,45
2020/3/8,65
2020/3/9,65
2020/3/10,45
2020/3/11,45
2020/3/12,45
2020/3/13,61
2020/3/14,69
2020/3/15,45
2020/3/16,69
2020/3/17,45
2020/3/18,69
2020/3/19,45
2020/3/20,45
2020/3/21,45
2020/3/22,61
2020/3/23,69
2020/3/24,69
2020/3/25,69
2020/3/26,65
2020/3/27,65
2020/3/28,65
2020/3/29,69
2020/3/30,45
2020/3/31,45
2020/4/1,45
2020/4/2,65
2020/4/3,45
2020/4/4,5
2020/4/5,45
2020/4/6,45
2020/4/7,45
2020/4/8,69
2020/4/9,69
2020/4/10,65
2020/4/11,45
2020/4/12,69
2020/4/13,45
2020/4/14,45
2020/4/15,45
2020/4/16,45
2020/4/17,45
2020/4/18,45
2020/4/19,69
2020/4/20,69
2020/4/21,65
2020/4/22,45
2020/4/23,45
2020/4/24,45
2020/4/25,69
2020/4/26,69
2020/4/27,69
2020/4/28,69
2020/4/29,69
2020/4/30,45
2020/5/1,45
2020/5/2,69
2020/5/3,69
2020/5/4,65
2020/5/5,65
2020/5/6,45
2020/5/7,65
2020/5/8,45
2020/5/9,45
2020/5/10,45
2020/5/11,45
2020/5/12,45
2020/5/13,45
2020/5/14,65
2020/5/15,45
2020/5/16,45
2020/5/17,57
2020/5/18,45
2020/5/19,45
2020/5/20,45
2020/5/21,45
2020/5/22,45
2020/5/23,69
2020/5/24,57
2020/5/25,65
2020/5/26,45
2020/5/27,45
2020/5/28,45
2020/5/29,45
2020/5/30,65
2020/5/31,45
2020/6/1,45
2020/6/2,45
2020/6/3,45
2020/6/4,45
2020/6/5,45
2020/6/6,57
2020/6/7,69
2020/6/8,45
2020/6/9,45
2020/6/10,61
2020/6/11,45
2020/6/12,45
2020/6/13,45
2020/6/14,45
2020/6/15,45
2020/6/16,45
2020/6/17,45
2020/6/18,45
2020/6/19,45
2020/6/20,45
2020/6/21,57
2020/6/22,45
2020/6/23,65
2020/6/24,45
2020/6/25,53
2020/6/26,45
2020/6/27,45
2020/6/28,45
2020/6/29,65
2020/6/30,45
2020/7/1,41
2020/7/2,45
2020/7/3,45
2020/7/4,45
2020/7/5,69
2020/7/6,45
2020/7/7,45
2020/7/8,45
2020/7/9,45
2020/7/10,45
2020/7/11,45
2020/7/12,69
2020/7/13,45
2020/7/14,45
2020/7/15,45
2020/7/16,45
2020/7/17,45
2020/7/18,45
2020/7/19,65
2020/7/20,45
2020/7/21,45
2020/7/22,45
2020/7/23,45
2020/7/24,45
2020/7/25,45
2020/7/26,65
2020/7/27,45
2020/7/28,45
2020/7/29,61
2020/7/30,45
2020/7/31,45
2020/8/1,45
2020/8/2,45
2020/8/3,45
2020/8/4,65
2020/8/5,45
2020/8/6,61
2020/8/7,45
2020/8/8,45
2020/8/9,69
2020/8/10,45
2020/8/11,45
2020/8/12,45
2020/8/13,45
2020/8/14,45
2020/8/15,45
2020/8/16,65
2020/8/17,45
2020/8/18,45
2020/8/19,45
2020/8/20,45
2020/8/21,45
2020/8/22,45
2020/8/23,69
2020/8/24,45
2020/8/25,45
2020/8/26,45
2020/8/27,45
2020/8/28,45
2020/8/29,57
2020/8/30,45
2020/8/31,45
2020/9/1,45
2020/9/2,45
2020/9/3,45
2020/9/4,45
2020/9/5,45
2020/9/6,45
2020/9/7,45
2020/9/8,65
2020/9/9,61
2020/9/10,45
2020/9/11,45
2020/9/12,45
2020/9/13,45
2020/9/14,41
2020/9/15,41
2020/9/16,45
2020/9/17,45
2020/9/18,45
2020/9/19,45
2020/9/20,45
2020/9/21,45
2020/9/22,45
2020/9/23,45
2020/9/24,65
2020/9/25,65
2020/9/26,45
2020/9/27,45
2020/9/28,45
2020/9/29,45
2020/9/30,45
2020/10/1,53
2020/10/2,69
2020/10/3,69
2020/10/4,57
2020/10/5,45
2020/10/6,45
2020/10/7,69
2020/10/8,69
2020/10/9,69
2020/10/10,65
2020/10/11,45
2020/10/12,69
2020/10/13,45
2020/10/14,45
2020/10/15,65
2020/10/16,65
2020/10/17,45
2020/10/18,65
2020/10/19,61
2020/10/20,69
2020/10/21,65
2020/10/22,65
2020/10/23,41
2020/10/24,45
2020/10/25,69
2020/10/26,65
2020/10/27,65
2020/10/28,45
2020/10/29,45
2020/10/30,45
2020/10/31,45
2020/11/1,65
2020/11/2,45
2020/11/3,45
2020/11/4,45
2020/11/5,69
2020/11/6,65
2020/11/7,65
2020/11/8,65
2020/11/9,45
2020/11/10,45
2020/11/11,45
2020/11/12,65
2020/11/13,45
2020/11/14,45
2020/11/15,45
2020/11/16,61
2020/11/17,45
2020/11/18,69
2020/11/19,45
2020/11/20,65
2020/11/21,45
2020/11/22,45
2020/11/23,41
2020/11/24,45
2020/11/25,69
2020/11/26,45
2020/11/27,45
2020/11/28,69
2020/11/29,69
2020/11/30,45
2020/12/1,69
2020/12/2,69
2020/12/3,45
2020/12/4,45
2020/12/5,45
2020/12/6,69
2020/12/7,45
2020/12/8,45
2020/12/9,45
2020/12/10,45
2020/12/11,45
2020/12/12,69
2020/12/13,69
2020/12/14,45
2020/12/15,45
2020/12/16,41
2020/12/17,45
2020/12/18,45
2020/12/19,45
2020/12/20,69
2020/12/21,45
2020/12/22,41
2020/12/23,45
2020/12/24,45
2020/12/25,45
2020/12/26,45
2020/12/27,65
2020/12/28,45
2020/12/29,45
2020/12/30,69
2020/12/31,45
2021/1/1,5
2021/1/2,69
2021/1/3,45
2021/1/4,45
2021/1/5,45
2021/1/6,45
2021/1/7,45
2021/1/8,41
2021/1/9,45
2021/1/10,69
2021/1/11,45
2021/1/12,45
2021/1/13,45
2021/1/14,45
2021/1/15,45
2021/1/16,45
2021/1/17,41
2021/1/18,45
2021/1/19,45
2021/1/20,41
2021/1/21,45
2021/1/22,45
2021/1/23,45
2021/1/24,69
2021/1/25,45
2021/1/26,45
2021/1/27,45
2021/1/28,45
2021/1/29,45
2021/1/30,45
2021/1/31,41
2021/2/1,45
2021/2/2,45
2021/2/3,45
2021/2/4,45
2021/2/5,45
2021/2/6,77
2021/2/7,45
2021/2/8,49
2021/2/9,49
2021/2/10,45
2021/2/11,53
2021/2/12,77
2021/2/13,77
2021/2/14,81
2021/2/15,77
2021/2/16,77
2021/2/17,77
2021/2/18,49
2021/2/19,77
2021/2/20,69
2021/2/21,77
2021/2/22,65
2021/2/23,5
2021/2/24,45
2021/2/25,45
2021/2/26,45
2021/2/27,5
2021/2/28,45
2021/3/1,69
2021/3/2,45
2021/3/3,45
2021/3/4,45
2021/3/5,45
2021/3/6,45
2021/3/7,45
2021/3/8,45
2021/3/9,45
2021/3/10,69
2021/3/11,45
2021/3/12,69
2021/3/13,45
2021/3/14,45
2021/3/15,69
2021/3/16,69
2021/3/17,69
2021/3/18,65
2021/3/19,45
2021/3/20,65
2021/3/21,45
2021/3/22,41
2021/3/23,45
2021/3/24,45
2021/3/25,45
2021/3/26,45
2021/3/27,65
2021/3/28,69
2021/3/29,65
2021/3/30,69
2021/3/31,45
2021/4/1,65
2021/4/2,45
2021/4/3,45
2021/4/4,53
2021/4/5,69
2021/4/6,65
